External_Id__c,Provider__r.External_Id__c,Institution_Name__c,Degree_Type__c,Field_Of_Study__c,Start_Date__c,End_Date__c,Graduation_Year__c,Country__c
PRV-1001-EDU-BS,PRV-1001,Coastal College,Bachelors,Biology,1999-08-15,2003-05-15,2003,US
PRV-1001-EDU-FEL,PRV-1001,Memorial Teaching Hospital,Fellowship,Endocrinology,2015-07-01,2016-06-30,2016,US
PRV-1001-EDU-MD,PRV-1001,Metropolitan Medical College,MD,Medicine,2003-08-01,2011-05-15,2011,US
PRV-1001-EDU-RES,PRV-1001,Memorial Teaching Hospital,Residency,Endocrinology,2011-07-01,2015-06-30,2015,US
PRV-1002-EDU-BS,PRV-1002,Midwestern University,Bachelors,Biology,2000-08-15,2004-05-15,2004,US
PRV-1002-EDU-MD,PRV-1002,Lakeside College of Osteopathic Medicine,MD,Medicine,2004-08-01,2012-05-15,2012,US
PRV-1002-EDU-RES,PRV-1002,Memorial Teaching Hospital,Residency,Cardiology,2012-07-01,2015-06-30,2015,US
PRV-1003-EDU-BS,PRV-1003,Pacific Liberal Arts College,Bachelors,Biology,2001-08-15,2005-05-15,2005,US
PRV-1003-EDU-MD,PRV-1003,Lakeside College of Osteopathic Medicine,DO,Medicine,2005-08-01,2013-05-15,2013,US
PRV-1003-EDU-RES,PRV-1003,Memorial Teaching Hospital,Residency,Endocrinology,2013-07-01,2017-06-30,2017,US
PRV-1004-EDU-BS,PRV-1004,State University,Bachelors,Biology,2002-08-15,2006-05-15,2006,US
PRV-1004-EDU-FEL,PRV-1004,Memorial Teaching Hospital,Fellowship,Endocrinology,2017-07-01,2018-06-30,2018,US
PRV-1004-EDU-MD,PRV-1004,University School of Medicine,MD,Medicine,2006-08-01,2014-05-15,2014,US
PRV-1004-EDU-RES,PRV-1004,Memorial Teaching Hospital,Residency,Endocrinology,2014-07-01,2017-06-30,2017,US
PRV-1005-EDU-BS,PRV-1005,Coastal College,Bachelors,Biology,2003-08-15,2007-05-15,2007,US
PRV-1005-EDU-MD,PRV-1005,Metropolitan Medical College,MD,Medicine,2007-08-01,2015-05-15,2015,US
PRV-1005-EDU-RES,PRV-1005,Memorial Teaching Hospital,Residency,Radiology,2015-07-01,2019-06-30,2019,US
PRV-1006-EDU-BS,PRV-1006,Midwestern University,Bachelors,Biology,2004-08-15,2008-05-15,2008,US
PRV-1006-EDU-MD,PRV-1006,Lakeside College of Osteopathic Medicine,MD,Medicine,2008-08-01,2016-05-15,2016,US
PRV-1006-EDU-RES,PRV-1006,Memorial Teaching Hospital,Residency,Nurse Practitioner - Primary Care,2016-07-01,2019-06-30,2019,US
PRV-1007-EDU-BS,PRV-1007,Pacific Liberal Arts College,Bachelors,Biology,2005-08-15,2009-05-15,2009,US
PRV-1007-EDU-FEL,PRV-1007,Memorial Teaching Hospital,Fellowship,Oncology,2021-07-01,2022-06-30,2022,US
PRV-1007-EDU-MD,PRV-1007,Harborview Medical School,MD,Medicine,2009-08-01,2017-05-15,2017,US
